127.0.0.1, 2024-01-09 12:52:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.719214
127.0.0.1, 2024-01-09 12:53:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.351415
127.0.0.1, 2024-01-09 12:53:37, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.380183
127.0.0.1, 2024-01-09 12:54:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.932521
127.0.0.1, 2024-01-09 12:54:39, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.998942
127.0.0.1, 2024-01-09 12:55:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.984059
127.0.0.1, 2024-01-09 12:55:42, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 3.531009
127.0.0.1, 2024-01-09 12:56:41, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.899655
127.0.0.1, 2024-01-09 12:56:41, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.962066
127.0.0.1, 2024-01-09 12:57:41, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.679868
127.0.0.1, 2024-01-09 12:57:41, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.715297
127.0.0.1, 2024-01-09 12:58:42, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.505948
127.0.0.1, 2024-01-09 12:58:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.525756
127.0.0.1, 2024-01-09 12:59:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.052819
127.0.0.1, 2024-01-09 12:59:43, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.854893
